"command","subcommand","arg-name","arg-type","cardinality","help","step"
"agent","capture","","","","mirror this machine's own sessions into its store dir (what a machine pushes to the shared store)",""
"agent","capture","--session","<uuid8>","1/agent-capture-1","uuid(8) prefix of the agent to capture — identity is never guessed",""
"agent","capture","--all","","1/agent-capture-1","mirror every session of every project (the whole outbox)",""
"agent","capture","--to","<scratch-dir>","","capture to a scratch dir instead of the store (test escape hatch — a directory, never a machine name)",""
"agent","demerge","","","","undo the latest received merge (memory only, all-or-nothing per project)",""
"agent","demerge","--apply","","","perform the undo — without it, a dry run that only reports",""
"agent","models","","","","model census — message.model counts over assistant records, every project and session",""
"agent","receive","","","","install a peer machine's transported sessions (the one deliberate writer of ~/.claude/projects)",""
"agent","receive","--session","<uuid8>","1/agent-receive-1","uuid(8) prefix of the agent to install — identity is never guessed",""
"agent","receive","--all","","1/agent-receive-1","install every session the peer transported (pull --all from one machine)",""
"agent","receive","--from","<machine|dir>","1","the peer to receive from — a machine name (bare token) or a directory (./dir), by shape not CWD lookup",""
"agent","receive","--apply","","","perform the merge — without it, a dry run that only reports",""
"browser","capture","","","","capture browser-reachable chats via Safari into data/input/ (a bare `yoga browser` audits capture-health)",""
"browser","capture","--provider","claude|gemini","","limit to one provider: claude | gemini (default: every provider in scope)",""
"browser","capture","--DOM","","","also capture by DOM — gemini REQUIRES it (no API), and a DOM walk is slow",""
"browser","capture","--id","<id>","","capture ONE conversation (the audit WARNs name it); requires --provider — an id's shape does not say whose it is",""
"cache","clean","","","","remove orphaned tmp/cache/ subtrees (neither written nor read by any registry producer)",""
"cache","clean","--dry-run","","1/cache-clean-1","list the orphaned subtrees; remove nothing",""
"cache","clean","--apply","","1/cache-clean-1","remove the orphaned subtrees",""
"cache","sync","","","","rebuild tmp/cache/ from data/input/ + data/output/ by running each registry producer — idempotent",""
"cache","sync","--dry-run","","","print the producer commands; run nothing",""
"check","","--fix","","","run every fix command, then stop — stages nothing (review and stage yourself)",""
"commands","","command","<command>","","the command whose forms to show; bare lists every command",""
"completions","install-latest","","","","regenerates _yoga and wires it into ~/.zshrc - idempotent (and then requires terminal restart)",""
"completions","sync","","","","writes tmp/cache/completions/_yoga and nothing else — the cache registry's producer, run by `yoga cache sync`; it wires nothing",""
"completions","uninstall","","","","removes the completions block from ~/.zshrc",""
"dashboard","capture","","","","PAID — the model reads the corpus for semantic-concepts + chat-categories (needs ANTHROPIC_API_KEY)",""
"dashboard","capture","--conversations","<path>","","source override: a markdown corpus dir | a json/ dir | a conversations.json",""
"dashboard","capture","--only","semantic-concepts|chat-categories","","limit the paid capture to semantic-concepts | chat-categories",""
"dashboard","sync","","","","FREE — render the dashboard page from the captures + markdown corpus — idempotent",""
"indexing","accept","","","","accept a concept as a headword (merge any aliases into it)",""
"indexing","accept","term","<term>","1","the concept to accept as a headword",""
"indexing","accept","aliases","<alias-list>","","zero or more concepts to fold into the headword",""
"indexing","candidates","","","","derive tmp/cache/indexing/candidates.txt (the pending queue of undisposed concepts)",""
"indexing","candidates","--top","<n>","","also print the frequent-uncovered-corpus-words advisory (top N; terminal only, machine-local)",""
"indexing","reject","","","","reject a concept into the disposal record",""
"indexing","reject","--reason","<why>","","reason for the rejection, kept as a # comment",""
"indexing","reject","concept","<concept>","1","the concept to reject",""
"indexing","sync","","","","build data/output/markdown/index.md from accepted.txt — idempotent","corpus"
"memories","sync","","","","deposit new distinct states and re-render — idempotent (the only write)","chat-exports"
"memories","","--chat-exports-cache","<dir>","","atomised batch cache — the archived memory-state source",""
"memories","","--memories-output","<dir>","","the memory deposit store — the write target",""
"memories","","--markdown","<dir>","","the rendered markdown timeline — one file per deposit",""
"model","sync","","","","(re-)generate every catalogue to agree with the schemas — idempotent",""
"prerequisites","","--show-all","","","show the full report, including satisfied (✓) items (default: only what needs attention)",""
"run","","--plan","","","print the ordered step plan; run nothing",""
"run","","--only","<pipeline>","","run one pipeline only: browser-captures | chat-exports | code-agents",""
"run","","--compare-scrape","","","also compare the claude projection against a fresh DOM scrape",""
"server","ensure-assets","","","","fetch the render libraries into tmp/cache/serve_markdown, then exit",""
"server","start","","","","start the markdown server (LaTeX rendering + turn deep links)",""
"server","start","--markdown","<dir>","","the markdown tree to serve (default: data/output/markdown)",""
"server","start","--port","<n>","","port to serve on (default: 8182)",""
"server","start","--daemon","","","run in the background (detached), rather than in the foreground",""
"server","stop","","","","stop the running server daemon",""
"summaries","sync","","","","deposit new distinct readings and re-render each folder index — idempotent (the only write)","chat-exports"
"summaries","","--chat-exports-cache","<dir>","","atomised batch cache — the export reading source",""
"summaries","","--browser-api","<dir>","","browser-API root — the rolling capture source",""
"summaries","","--conversations-output","<dir>","","projected conversations the folders key on",""
"summaries","","--summaries-output","<dir>","","the summary deposit store — the write target",""
"supersede","check","","","","compute supersession — which earlier export dirs are covered (witnessed or deposited); reports, writes nothing","chat-exports"
"supersede","check","--chat-exports-cache","<dir>","","cache root holding <batch>/json/ atomised pieces",""
"supersede","check","--bulk-exports","<dir>","","input root holding the raw batch dirs (memories/projects/users)",""
"supersede","check","--browser-api","<dir>","","browser-API root: also compare the latest batch against live captures (informational)",""
"supersede","check","--memories-output","<dir>","","the memory deposit store (a deposit is the unconditional licence)",""
"supersede","check","--summaries-output","<dir>","","the summary deposit store (a deposit is the unconditional licence)",""
"xref","check","","","","rebuild the table, write it, and report — idempotent (the only write)",""
